CustomerID,Gender,Age,TenureMonths,ContractType,InternetService,PaymentMethod,MonthlyCharges,TotalCharges,SupportCallsLast6M,TechSupport,OnlineSecurity,Region,Churned,ChurnFlag,ChurnRiskScore,RiskSegment
CUST5054,Female,69,4,Month-to-month,DSL,Credit Card,396.66,1573.81,2,No,No,South,Yes,1,0.641,Medium
CUST5055,Male,28,59,Month-to-month,DSL,Bank Transfer,579.51,34779.81,1,Yes,Yes,East,No,0,0.407,Medium
CUST5056,Male,68,32,Two year,DSL,Bank Transfer,1013.51,30232.9,0,No,No,North,No,0,0.128,Low
CUST5057,Female,26,69,Month-to-month,DSL,UPI Autopay,1937.53,139671.41,3,No,No,East,No,0,0.458,Medium
CUST5058,Male,44,33,Month-to-month,Fiber,Electronic Check,2584.82,84689.64,3,Yes,No,North,No,0,0.795,High
CUST5059,Female,31,71,Month-to-month,Fiber,Credit Card,2295.67,150991.08,3,Yes,No,Central,Yes,1,0.587,Medium
CUST5060,Male,47,1,One year,Fiber,UPI Autopay,3195.38,2977.23,1,Yes,No,Central,No,0,0.431,Medium
CUST5061,Male,57,21,Two year,No Internet,UPI Autopay,3021.59,64924.28,1,No,No,South,No,0,0.269,Low
CUST5062,Female,51,6,Month-to-month,DSL,UPI Autopay,3206.4,17854.81,2,No,Yes,West,Yes,1,0.739,High
CUST5063,Female,26,38,One year,No Internet,Credit Card,1410.94,54569.4,1,No,Yes,South,No,0,0.18,Low
CUST5064,Male,40,65,One year,DSL,Bank Transfer,3436.85,210459.79,0,No,No,Central,No,0,0.113,Low
CUST5065,Male,67,30,Two year,Fiber,Bank Transfer,2384.67,73935.75,2,Yes,No,West,No,0,0.303,Low
CUST5066,Female,32,61,Two year,Fiber,UPI Autopay,946.12,59471.02,4,Yes,No,North,No,0,0.215,Low
CUST5067,Female,69,51,One year,DSL,Bank Transfer,2511.38,126053.52,6,Yes,No,East,No,0,0.33,Low
CUST5068,Female,59,51,One year,Fiber,UPI Autopay,2547.95,119494.69,2,No,Yes,Central,No,0,0.225,Low
CUST5069,Male,32,24,Month-to-month,DSL,Bank Transfer,1320.27,31683.86,0,No,No,West,Yes,1,0.525,Medium
CUST5070,Female,26,9,Month-to-month,No Internet,Credit Card,1409.21,12558.01,1,Yes,Yes,West,No,0,0.679,High
CUST5071,Female,31,31,Month-to-month,DSL,Electronic Check,1312.49,42624.26,1,No,No,East,Yes,1,0.612,Medium
CUST5072,Male,25,40,Month-to-month,Fiber,Credit Card,695.75,26247.77,3,No,No,North,No,0,0.624,Medium
CUST5073,Female,22,41,One year,No Internet,Electronic Check,3148.52,116627.07,3,Yes,Yes,East,No,0,0.374,Medium
CUST5074,Female,53,12,Month-to-month,Fiber,UPI Autopay,476.04,5711.78,1,Yes,No,South,No,0,0.647,Medium
CUST5075,Male,36,38,One year,DSL,UPI Autopay,1978.17,71110.95,1,Yes,Yes,East,No,0,0.167,Low
CUST5076,Female,35,6,One year,DSL,Bank Transfer,1639.92,9431.07,0,Yes,Yes,West,No,0,0.224,Low
CUST5077,Female,41,37,Two year,Fiber,Credit Card,1511.95,57972.33,1,Yes,No,West,No,0,0.21,Low
CUST5078,Female,45,29,One year,DSL,Bank Transfer,2998.74,86952.02,1,Yes,No,North,No,0,0.209,Low
CUST5079,Male,23,22,Month-to-month,No Internet,UPI Autopay,2298.56,52394.44,0,Yes,No,West,No,0,0.636,Medium
CUST5080,Female,51,34,Month-to-month,Fiber,UPI Autopay,518.7,18256.82,1,No,Yes,Central,Yes,1,0.568,Medium
CUST5081,Female,63,66,One year,Fiber,Bank Transfer,1502.77,89544.34,0,No,No,Central,No,0,0.134,Low
CUST5082,Male,64,10,Month-to-month,DSL,Credit Card,1218.02,12358.6,2,No,No,West,Yes,1,0.68,High
CUST5083,Male,41,70,One year,No Internet,Bank Transfer,2930.77,206169.62,1,No,No,West,No,0,0.145,Low
CUST5084,Female,37,30,One year,No Internet,UPI Autopay,722.79,21221.3,1,Yes,Yes,East,No,0,0.193,Low
CUST5085,Male,59,57,Month-to-month,No Internet,Electronic Check,1881.77,97063.88,2,No,No,East,Yes,1,0.657,Medium
CUST5086,Male,52,65,Month-to-month,DSL,UPI Autopay,471.77,31580.04,1,No,Yes,East,No,0,0.378,Medium
CUST5087,Female,61,6,One year,DSL,Electronic Check,1968.78,11852.79,1,No,No,South,No,0,0.354,Medium
CUST5088,Male,54,50,Two year,Fiber,UPI Autopay,3214.84,153218.59,2,No,No,West,No,0,0.229,Low
CUST5089,Male,32,29,Two year,Fiber,Credit Card,1186.04,32923.12,2,Yes,No,North,No,0,0.237,Low
CUST5090,Male,62,43,One year,DSL,Bank Transfer,3309.14,134434.26,1,Yes,No,Central,No,0,0.211,Low
CUST5091,Male,25,39,Month-to-month,Fiber,Credit Card,3370.35,129240.92,1,Yes,No,North,No,0,0.609,Medium
CUST5092,Male,22,56,Month-to-month,Fiber,Electronic Check,581.63,30776.29,5,No,No,South,Yes,1,0.769,High
CUST5093,Male,49,12,Month-to-month,DSL,Bank Transfer,1365.83,16892.28,2,No,No,Central,No,0,0.674,High
CUST5094,Male,35,43,Month-to-month,Fiber,UPI Autopay,1056.86,45522.08,4,Yes,No,East,Yes,1,0.692,High
CUST5095,Male,20,42,Month-to-month,DSL,Electronic Check,979.96,41314.8,2,No,Yes,South,Yes,1,0.618,Medium
CUST5096,Male,24,53,Month-to-month,DSL,Electronic Check,1824.58,93101.3,2,Yes,No,South,No,0,0.629,Medium
CUST5097,Female,63,29,Month-to-month,Fiber,Electronic Check,561.34,15429.58,3,No,No,West,No,0,0.78,High
CUST5098,Female,27,58,Month-to-month,Fiber,Bank Transfer,1550.89,91131.9,1,No,Yes,South,Yes,1,0.47,Medium
CUST5099,Male,43,61,One year,Fiber,UPI Autopay,969.55,55284.95,0,Yes,No,West,No,0,0.148,Low
CUST5100,Male,29,60,Month-to-month,Fiber,Electronic Check,2264.62,129148.99,4,No,No,South,Yes,1,0.739,High
CUST5101,Female,55,16,One year,DSL,Bank Transfer,313.7,4589.02,2,No,No,West,No,0,0.234,Low
CUST5102,Female,19,60,Month-to-month,No Internet,UPI Autopay,3317.9,204221.16,1,Yes,No,South,Yes,1,0.498,Medium
CUST5103,Male,68,31,Month-to-month,No Internet,Electronic Check,3449.59,97462.66,1,No,No,South,No,0,0.754,High
CUST5104,Female,47,63,Two year,DSL,Credit Card,504.47,30406.7,1,Yes,No,North,No,0,0.103,Low
CUST5105,Male,26,63,Month-to-month,No Internet,Bank Transfer,1917.28,111145.58,2,Yes,Yes,South,No,0,0.531,Medium
CUST5106,Male,46,24,One year,Fiber,Electronic Check,3244.78,74738.62,2,Yes,No,South,Yes,1,0.458,Medium
CUST5107,Male,21,35,One year,Fiber,Electronic Check,681.97,23535.66,1,No,Yes,South,No,0,0.261,Low
CUST5108,Male,56,67,Month-to-month,Fiber,Bank Transfer,2437.43,150961.44,1,Yes,Yes,West,No,0,0.511,Medium
CUST5109,Female,24,32,Month-to-month,Fiber,UPI Autopay,1528.64,49526.8,3,No,No,North,Yes,1,0.658,Medium
CUST5110,Female,40,41,Month-to-month,No Internet,Bank Transfer,1766.8,74813.84,1,No,No,North,Yes,1,0.533,Medium
CUST5111,Male,37,60,Two year,Fiber,Electronic Check,1946.69,119663.54,5,No,Yes,North,No,0,0.334,Medium
CUST5112,Female,58,10,Two year,Fiber,UPI Autopay,2480.76,23965.64,3,No,No,West,No,0,0.403,Medium
CUST5113,Male,52,38,Two year,Fiber,Credit Card,1007.94,38036.8,4,No,Yes,East,No,0,0.269,Low
CUST5114,Male,26,49,One year,No Internet,Bank Transfer,1984.82,93885.84,0,Yes,No,West,No,0,0.172,Low
CUST5115,Male,44,39,Month-to-month,Fiber,Electronic Check,1197.94,45721.18,2,Yes,Yes,West,No,0,0.735,High
CUST5116,Male,24,66,Month-to-month,No Internet,Credit Card,1279.8,87824.65,1,Yes,Yes,Central,No,0,0.478,Medium
CUST5117,Female,65,39,Two year,Fiber,Electronic Check,1748.21,67766.1,3,No,No,North,No,0,0.335,Medium
CUST5118,Female,31,52,Month-to-month,DSL,Electronic Check,2374.97,125270.21,3,No,No,West,No,0,0.678,High
CUST5119,Female,34,57,Month-to-month,DSL,Credit Card,1551.56,80003.73,1,No,Yes,North,Yes,1,0.398,Medium
CUST5120,Female,45,39,One year,Fiber,Credit Card,1398.93,56491.04,1,Yes,No,West,Yes,1,0.223,Low
CUST5121,Male,52,23,Month-to-month,DSL,Bank Transfer,2024.82,44911.57,3,No,No,South,No,0,0.683,High
CUST5122,Male,63,13,Month-to-month,Fiber,UPI Autopay,870.62,10950.02,1,No,No,North,No,0,0.635,Medium
CUST5123,Female,40,46,Month-to-month,Fiber,Bank Transfer,2003.13,91536.93,4,No,Yes,East,Yes,1,0.662,High
CUST5124,Female,53,2,Month-to-month,DSL,Bank Transfer,1086.59,2005.53,3,No,No,South,Yes,1,0.712,High
CUST5125,Female,44,57,Month-to-month,Fiber,UPI Autopay,1745.46,104390.93,1,No,No,Central,Yes,1,0.517,Medium
CUST5126,Male,45,18,One year,DSL,Electronic Check,610.75,10837.42,4,No,No,Central,No,0,0.426,Medium
CUST5127,Female,63,57,Month-to-month,DSL,Bank Transfer,2010.36,106619.79,3,Yes,No,East,Yes,1,0.555,Medium
CUST5128,Female,40,58,One year,Fiber,Electronic Check,2256.85,134983.72,4,No,No,North,No,0,0.329,Low
CUST5129,Female,32,56,Two year,No Internet,Electronic Check,880.44,45664.41,0,No,Yes,East,No,0,0.152,Low
CUST5130,Male,41,8,Month-to-month,Fiber,Credit Card,2629.54,18982.76,1,Yes,No,East,Yes,1,0.73,High
CUST5131,Female,64,39,One year,Fiber,UPI Autopay,2351.72,95437.43,6,No,Yes,Central,No,0,0.435,Medium
CUST5132,Female,62,5,Two year,Fiber,Credit Card,985.08,4912.4,4,No,No,West,No,0,0.411,Medium
CUST5133,Male,20,36,Month-to-month,Fiber,Credit Card,3403.4,115666.13,1,No,No,Central,Yes,1,0.646,Medium
CUST5134,Female,51,19,One year,DSL,Electronic Check,2447.44,47426.5,3,No,No,Central,No,0,0.431,Medium
CUST5135,Male,63,43,Month-to-month,Fiber,Electronic Check,1219.5,50113.24,1,Yes,Yes,South,Yes,1,0.672,High
CUST5136,Male,46,19,Month-to-month,No Internet,Credit Card,3043.68,60622.05,3,No,No,North,No,0,0.754,High
CUST5137,Male,19,14,Two year,DSL,UPI Autopay,748.81,9520.82,1,Yes,Yes,East,No,0,0.175,Low
CUST5138,Male,67,13,Two year,No Internet,Electronic Check,917.95,11634.77,3,No,No,South,Yes,1,0.423,Medium
CUST5139,Female,60,68,One year,Fiber,Credit Card,3242.3,213183.62,2,No,No,North,No,0,0.162,Low
CUST5140,Female,44,71,Two year,No Internet,Electronic Check,2008.83,141894.58,3,Yes,Yes,West,Yes,1,0.253,Low
CUST5141,Male,31,59,Month-to-month,Fiber,Electronic Check,602.38,35103.92,3,No,No,Central,Yes,1,0.704,High
CUST5142,Female,35,22,One year,No Internet,UPI Autopay,2493.15,55023.02,1,Yes,No,North,No,0,0.259,Low
CUST5143,Male,57,35,Month-to-month,Fiber,Credit Card,2644.97,87550.18,3,No,Yes,South,Yes,1,0.702,High
CUST5144,Female,61,70,One year,DSL,UPI Autopay,1140.05,83302.05,1,No,No,Central,No,0,0.115,Low
CUST5145,Male,19,11,Month-to-month,DSL,Credit Card,2610.97,28237.74,0,Yes,No,South,No,0,0.618,Medium
CUST5146,Female,30,58,Two year,Fiber,Bank Transfer,1318.68,78289.07,1,No,No,South,No,0,0.137,Low
CUST5147,Female,25,31,Two year,Fiber,Credit Card,623.04,19248.98,3,Yes,Yes,North,No,0,0.235,Low
CUST5148,Female,53,38,One year,DSL,Bank Transfer,3307.18,124878.62,2,No,No,South,No,0,0.221,Low
CUST5149,Male,23,22,Two year,Fiber,Bank Transfer,998.57,21938.5,3,No,Yes,West,No,0,0.291,Low
CUST5150,Female,46,26,One year,No Internet,Bank Transfer,1847.81,47419.62,1,No,Yes,Central,No,0,0.241,Low
CUST5151,Female,36,5,Two year,DSL,Electronic Check,2477.6,11937.07,2,No,No,Central,Yes,1,0.411,Medium
CUST5152,Female,38,46,Two year,Fiber,UPI Autopay,3130.07,148252.67,2,No,Yes,North,No,0,0.189,Low
CUST5153,Male,40,20,One year,Fiber,UPI Autopay,3116.58,60008.76,1,No,Yes,North,No,0,0.273,Low
CUST5154,Male,60,18,Two year,Fiber,Credit Card,684.5,11121.91,2,No,No,East,No,0,0.252,Low
CUST5155,Female,58,71,Month-to-month,Fiber,Bank Transfer,1850.48,134757.49,1,No,No,South,Yes,1,0.447,Medium
CUST5156,Male,19,4,Month-to-month,DSL,Bank Transfer,3282.93,12016.9,1,No,No,West,Yes,1,0.719,High
CUST5157,Male,30,9,Month-to-month,DSL,Electronic Check,1314.63,10812.3,2,No,No,East,No,0,0.737,High
CUST5158,Female,35,12,One year,No Internet,Electronic Check,2138.03,25471.17,3,No,Yes,West,No,0,0.485,Medium
CUST5159,Male,66,34,Month-to-month,Fiber,Electronic Check,995.77,32923.04,2,No,Yes,North,No,0,0.705,High
CUST5160,Male,35,27,Month-to-month,Fiber,UPI Autopay,1240.5,30412.83,1,No,No,North,No,0,0.59,Medium
CUST5161,Female,66,9,Month-to-month,DSL,Credit Card,1443.39,12773.56,1,No,No,West,Yes,1,0.639,Medium
CUST5162,Male,27,5,Two year,No Internet,UPI Autopay,3319.96,17108.56,1,Yes,No,Central,Yes,1,0.373,Medium
CUST5163,Male,62,31,Month-to-month,Fiber,Electronic Check,1950.44,60018.9,3,No,Yes,North,Yes,1,0.771,High
CUST5164,Female,24,42,Two year,Fiber,Credit Card,1115.22,42753.9,1,No,Yes,North,No,0,0.148,Low
CUST5165,Male,31,39,Month-to-month,DSL,Bank Transfer,1753.42,63854.18,3,Yes,No,West,No,0,0.648,Medium
CUST5166,Female,42,41,Two year,Fiber,Bank Transfer,1371.22,53596.58,2,No,No,West,No,0,0.22,Low
CUST5167,Female,55,51,Two year,Fiber,UPI Autopay,480.56,25047.18,1,Yes,No,North,No,0,0.149,Low
CUST5168,Female,43,19,One year,DSL,UPI Autopay,1066.1,19533.51,1,Yes,Yes,South,No,0,0.198,Low
CUST5169,Female,56,6,Month-to-month,Fiber,Bank Transfer,1900.24,10801.74,2,No,Yes,North,Yes,1,0.717,High
CUST5170,Male,41,48,Month-to-month,Fiber,Bank Transfer,1771.87,85774.62,2,Yes,Yes,West,Yes,1,0.617,Medium
CUST5171,Male,58,20,One year,DSL,UPI Autopay,2996.87,54894.28,2,Yes,No,South,No,0,0.309,Low
CUST5172,Male,22,52,One year,DSL,Electronic Check,1373.0,72512.67,0,No,Yes,West,No,0,0.166,Low
CUST5173,Male,36,9,Two year,Fiber,Credit Card,3345.74,29582.07,5,No,No,North,Yes,1,0.503,Medium
CUST5174,Female,52,33,One year,Fiber,Bank Transfer,2671.54,80183.63,1,No,Yes,East,No,0,0.221,Low
CUST5175,Male,22,30,Month-to-month,Fiber,UPI Autopay,926.32,27465.29,2,No,No,North,No,0,0.611,Medium
CUST5176,Male,25,57,Two year,No Internet,Credit Card,2016.92,117478.26,1,No,No,North,No,0,0.133,Low
CUST5177,Female,50,36,Month-to-month,DSL,Bank Transfer,1944.28,63918.14,3,No,Yes,East,Yes,1,0.598,Medium
CUST5178,Female,36,39,Month-to-month,Fiber,UPI Autopay,321.97,12314.71,6,No,No,Central,No,0,0.774,High
CUST5179,Female,66,61,Two year,Fiber,UPI Autopay,2754.86,157762.38,0,No,No,South,Yes,1,0.125,Low
CUST5180,Male,56,4,Month-to-month,DSL,Bank Transfer,3438.83,12405.14,2,No,No,South,Yes,1,0.76,High
CUST5181,Male,47,8,Month-to-month,DSL,Credit Card,1633.25,12762.38,0,Yes,No,South,Yes,1,0.603,Medium
CUST5182,Male,34,31,Month-to-month,DSL,Bank Transfer,1718.27,54925.82,3,No,No,West,Yes,1,0.655,Medium
CUST5183,Male,25,28,One year,DSL,Bank Transfer,1539.72,43090.39,5,Yes,Yes,West,Yes,1,0.359,Medium
CUST5184,Female,45,16,One year,Fiber,UPI Autopay,2187.22,34007.86,1,Yes,Yes,South,No,0,0.285,Low
CUST5185,Male,35,58,Month-to-month,Fiber,UPI Autopay,2132.19,116855.23,2,Yes,Yes,East,No,0,0.55,Medium
CUST5186,Female,61,16,One year,No Internet,Bank Transfer,1749.72,26170.06,5,No,Yes,East,Yes,1,0.423,Medium
CUST5187,Male,23,31,Month-to-month,DSL,Bank Transfer,2923.37,84208.16,4,Yes,No,West,No,0,0.743,High
CUST5188,Male,62,42,One year,No Internet,Electronic Check,2960.72,122080.52,3,Yes,Yes,Central,No,0,0.421,Medium
CUST5189,Female,39,27,Two year,DSL,UPI Autopay,1292.45,35753.28,2,No,No,South,No,0,0.193,Low
CUST5190,Male,48,15,Two year,Fiber,UPI Autopay,1735.56,25493.04,2,Yes,Yes,North,No,0,0.286,Low
CUST5191,Male,63,3,Month-to-month,Fiber,UPI Autopay,3035.26,8907.84,2,Yes,Yes,West,Yes,1,0.814,High
CUST5192,Male,31,19,Two year,DSL,Electronic Check,1506.72,27751.56,1,No,Yes,South,No,0,0.256,Low
CUST5193,Male,47,8,Month-to-month,DSL,Credit Card,492.38,3647.89,3,No,Yes,Central,Yes,1,0.685,High
CUST5194,Female,49,26,Month-to-month,DSL,Electronic Check,1006.07,26389.02,0,No,No,East,Yes,1,0.581,Medium
CUST5195,Male,51,17,Month-to-month,Fiber,UPI Autopay,2855.54,46125.34,5,Yes,No,West,No,0,0.861,High
CUST5196,Male,29,29,Two year,Fiber,Bank Transfer,1379.03,40801.08,3,No,No,West,No,0,0.294,Low
CUST5197,Female,39,16,Two year,Fiber,UPI Autopay,3100.92,50375.37,2,Yes,No,South,Yes,1,0.343,Medium
CUST5198,Female,42,58,Month-to-month,Fiber,Electronic Check,1576.74,86189.99,0,No,Yes,Central,No,0,0.563,Medium
CUST5199,Male,51,17,One year,DSL,UPI Autopay,2970.31,49123.37,4,No,Yes,North,No,0,0.357,Medium
CUST5200,Female,30,60,Two year,DSL,Electronic Check,1348.52,74632.52,2,No,No,Central,No,0,0.2,Low
CUST5201,Male,19,68,One year,No Internet,Credit Card,392.51,26936.56,3,No,No,South,No,0,0.182,Low
CUST5202,Female,29,10,Two year,Fiber,Credit Card,1620.05,15958.2,4,Yes,No,Central,Yes,1,0.426,Medium
CUST5203,Male,33,36,Month-to-month,DSL,Bank Transfer,3306.22,121304.98,3,No,No,North,Yes,1,0.636,Medium
CUST5204,Female,25,63,Two year,DSL,Bank Transfer,2055.48,132419.17,1,Yes,Yes,West,No,0,0.112,Low
CUST5205,Female,60,63,Month-to-month,Fiber,Electronic Check,2496.86,148651.03,4,No,No,East,No,0,0.724,High
CUST5206,Male,55,65,Month-to-month,Fiber,Electronic Check,1396.56,87781.53,1,No,No,East,Yes,1,0.577,Medium
CUST5207,Female,61,50,One year,DSL,UPI Autopay,499.21,24658.03,2,No,No,North,No,0,0.148,Low
CUST5208,Female,48,65,One year,Fiber,Bank Transfer,480.82,30902.59,2,No,No,South,No,0,0.166,Low
CUST5209,Male,25,10,Month-to-month,DSL,Credit Card,820.43,8308.27,1,Yes,No,East,No,0,0.588,Medium
CUST5210,Female,21,55,One year,Fiber,Credit Card,928.24,47149.82,5,No,No,Central,No,0,0.307,Low
CUST5211,Male,29,58,Two year,Fiber,Electronic Check,1760.59,92630.35,1,Yes,No,Central,No,0,0.241,Low
CUST5212,Female,28,14,Month-to-month,Fiber,UPI Autopay,444.63,6443.39,3,No,No,Central,No,0,0.719,High
CUST5213,Male,18,67,Two year,Fiber,Bank Transfer,3138.01,193690.94,1,No,No,East,No,0,0.127,Low
CUST5214,Male,57,14,Two year,Fiber,Credit Card,3076.65,44676.45,1,Yes,No,North,No,0,0.306,Low
CUST5215,Male,29,31,Two year,DSL,Electronic Check,715.82,21451.94,1,Yes,No,Central,No,0,0.246,Low
CUST5216,Male,23,68,Two year,Fiber,UPI Autopay,2945.96,190551.34,1,Yes,No,South,No,0,0.138,Low
CUST5217,Male,27,35,One year,Fiber,UPI Autopay,736.29,26332.19,2,Yes,No,Central,Yes,1,0.261,Low
CUST5218,Male,40,30,Month-to-month,Fiber,Bank Transfer,1443.54,42885.1,2,Yes,No,South,No,0,0.67,High
CUST5219,Male,46,59,Month-to-month,Fiber,Electronic Check,3104.47,178838.2,3,No,Yes,South,Yes,1,0.702,High
CUST5220,Male,37,53,Month-to-month,Fiber,Bank Transfer,1956.37,104484.58,1,Yes,No,West,No,0,0.564,Medium
CUST5221,Female,21,49,Month-to-month,No Internet,UPI Autopay,1180.78,58169.61,1,Yes,No,South,No,0,0.522,Medium
CUST5222,Male,51,30,One year,Fiber,Bank Transfer,3143.03,85630.97,4,No,Yes,West,No,0,0.409,Medium
CUST5223,Female,49,8,One year,Fiber,UPI Autopay,501.34,3984.14,2,No,No,South,No,0,0.292,Low
